,Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
0,1363745270,GGY6450,99,PAS,07/09/2015,46,SDN,HONDA,P,0,40404,40404,20170602,74.0,74,301,358160,T301,0,1037A,,K,F,142,MACDOUNGH ST,,0,408,D1,,BBBBBBB,ALL,ALL,WHITE,0.0,2010,-,0,,,,,,,,,,,,,
1,1363745293,KXD355,SC,PAS,07/09/2015,21,SUBN,CHEVR,P,55730,67030,58730,20160288,79.0,79,301,358160,T301,0,1206P,,K,F,331,LEXINGTON AVE,,0,408,F1,,YBBYBBB,1100A,1230P,RED,0.0,0,-,0,,,,,,,,,,,,,
2,1363745438,JCK7576,PA,PAS,07/09/2015,21,SDN,ME/BE,P,42730,26730,26830,0,79.0,79,0,358114,TEBN,0,0820A,,K,F,1087,FULTON ST,,0,408,D1,,YBBYBBB,0800A,0930A,WHITE,0.0,0,-,0,,,,,,,,,,,,,
3,1363745475,GYK7658,NY,OMS,07/09/2015,21,SUBN,NISSA,P,58130,18630,67030,0,79.0,79,301,358114,T301,0,0918A,,K,F,207,MADISON ST,,0,408,D1,,YBBYBBB,0900A,1030,BK,0.0,2015,-,0,,,,,,,,,,,,,
4,1363745487,GMT8141,NY,PAS,07/09/2015,21,P-U,LINCO,P,58130,67030,58730,20160206,79.0,79,301,358114,T301,0,0925A,,K,F,237,MADISON ST,,0,408,D1,,YBBYBBB,0900A,1030A,BLK,0.0,2006,-,0,,,,,,,,,,,,,
5,1363745517,GYK3760,NY,PAS,07/09/2015,21,SUBN,HONDA,P,46730,58730,85730,20160709,79.0,79,301,358114,T301,0,0948A,,K,F,201,HALSEY ST,,0,408,D1,,YBBYBBB,0900A,1030A,OTHER,0.0,2006,-,0,,,,,,,,,,,,,
6,1363745529,GYK3760,NY,PAS,07/09/2015,75,SUBN,HONDA,P,46730,58730,85730,20160709,,0,301,358114,T301,0,0949A,,K,F,201,HALSEY ST,,0,408,D1,,BBBBBBB,ALL,ALL,OTHER,0.0,2006,-,0,,,,,,,,,,,,,
7,1363745542,GWL9925,NY,PAS,07/09/2015,71,SDN,TOYOT,P,85730,59530,32030,20170602,79.0,79,301,358114,T301,0,1043A,,K,O,482,TOMPKINS AVE,,0,408,D1,,BBBBBBB,ALL,ALL,OTHER,0.0,2006,-,0,,,,,,,,,,,,,
8,1363745554,GPH9963,PA,PAS,07/09/2015,21,SDN,MITSU,P,55730,67030,58730,20150288,79.0,79,301,358114,T301,0,1204P,,K,F,317,LEXINGTON AVE,,0,408,J6,,YBBYBBB,1100A,1230P,OTHER,0.0,0,-,0,,,,,,,,,,,,,
9,1363745578,GWF8627,NY,PAS,07/09/2015,21,SUBN,LINCO,P,31530,58730,85730,20170407,79.0,79,301,358114,T301,0,1227P,,K,F,739,DEKALB AVE,,0,408,D1,,YBBYBBB,1200P,0130P,OTHER,0.0,2002,-,0,,,,,,,,,,,,,
10,1363745657,VJA95M,NJ,PAS,07/09/2015,21,SUBN,,P,51930,42030,58330,0,,0,301,359590,T301,0,0851A,,K,O,84,INDIA ST,,0,408,D1,,YBBYBBB,0830A,1000A,WH,0.0,0,-,0,,,,,,,,,,,,,
11,1363745670,GVA7104,NY,PAS,07/09/2015,41,SDN,VOLKS,P,45830,42030,58330,20160421,94.0,94,301,359590,T301,0,0905A,,,F,125,GREEN ST,,0,408,,,YBBYBBB,0830A,1000A,BLK,0.0,2014,-,0,,,,,,,,,,,,,
12,1363745712,GYA9126,NY,PAS,07/09/2015,70,SUBN,TOYOT,P,46330,60430,24330,20150526,94.0,94,301,359590,T301,0,0954A,,K,O,181,GUERNSEY ST,,0,408,J6,,BBBBBBB,ALL,ALL,BL,0.0,2012,-,0,,,,,,,,,,,,,
13,1363745724,WYW78A,NJ,PAS,07/09/2015,21,SUBN,SUBAR,P,55430,63630,65730,0,94.0,94,301,359590,T301,0,1012A,,K,F,595,LEONARD ST,,0,408,J3,,YBBYBBB,0930A,1100A,BLK,0.0,0,-,0,,,,,,,,,,,,,
14,1363745736,GXL3452,NY,PAS,07/09/2015,21,SDN,TOYOT,P,54010,58330,59640,20160930,94.0,94,301,359590,T301,0,1136A,,K,O,174,KENT ST,,0,408,D1,,YBBYBBB,1130A,0100P,BLK,0.0,2015,-,0,,,,,,,,,,,,,
15,1363745748,Z53ESE,NJ,PAS,07/09/2015,21,SUBN,LINCO,P,54010,58330,59640,0,94.0,94,301,359590,T301,0,1141A,,K,F,195,KENT ST,,0,408,D1,,YBBYBBB,1130A,0100P,BLK,0.0,0,-,0,,,,,,,,,,,,,
16,1363745750,GMH6888,NY,PAS,07/09/2015,21,SUBN,BMW,P,54010,58330,59640,0,94.0,94,301,359590,T301,0,1145A,,,F,213,KENT ST,,0,408,D1,,YBBYBBB,1130A,0100P,BLK,0.0,0,-,0,,,,,,,,,,,,,
17,1363745761,GRF4392,NY,PAS,07/09/2015,21,SUBN,FORD,P,0,0,0,20150930,94.0,94,301,359590,T301,0,1148A,,K,,,W/ MCGUINESS BLVD,5FT N/O KENT ST,0,408,D1,,YBBYBBB,1130A,0100P,BLK,0.0,2015,-,0,,,,,,,,,,,,,
18,1363745864,GYX2853,NY,PAS,07/09/2015,21,TWOD,HONDA,P,81630,69230,63030,20170524,88.0,88,301,358668,T301,0,0900A,,K,O,77,STEUBEN ST,,0,408,D1,,BBBYBBB,0830A,1000A,WH,0.0,2015,-,0,,,,,,,,,,,,,
19,1363745890,GRE9023,NY,PAS,07/09/2015,21,SDN,TOYOT,P,39330,63030,93230,20160801,88.0,88,301,358668,T301,0,0932A,,K,O,139,EMERSON PL,,0,408,D1,,BBBYBBB,0830A,1000A,GRAY,0.0,2010,-,0,,,,,,,,,,,,,
20,1363745906,J54EFN,NJ,PAS,07/09/2015,21,SDN,MITSU,P,39330,63030,93230,0,88.0,88,301,358668,T301,0,0922A,,K,O,139,EMERSON PL,,0,408,D1,,BBBYBBB,0830A,1000A,BLK,0.0,0,-,0,,,,,,,,,,,,,
21,1363745918,GDP3708,NY,PAS,07/09/2015,21,SUBN,SUBAR,P,39330,63030,93230,20161225,88.0,88,301,358668,T301,0,0925A,,K,O,139,EMERSON PL,,0,408,D1,,BBBYBBB,0830A,1000A,BLK,0.0,2004,-,0,,,,,,,,,,,,,
22,1363745920,GXF5226,NY,PAS,07/09/2015,21,SUBN,MITSU,P,39330,63030,93230,20170408,88.0,88,301,358668,T301,0,0930A,,K,O,161,EMERSON PL,,0,408,D1,,BBBYBBB,0830A,1000A,GY,0.0,2015,-,0,,,,,,,,,,,,,
23,1363745931,X885GH,NY,PAS,07/09/2015,21,SDN,ME/BE,P,39330,63030,93230,20160831,88.0,88,301,358668,T301,0,0935A,,K,O,161,EMERSON PL,,0,408,D1,,BBBYBBB,0830A,1000A,BL,0.0,0,-,0,,,,,,,,,,,,,
24,1363745979,GDN6729,NY,PAS,07/09/2015,21,SUBN,LEXUS,P,87330,69230,63030,20161125,88.0,88,301,358668,T301,0,1215P,,K,O,151,VANDERBILT AVE,,0,408,D1,,BBBYBBB,1130A,0100P,BLK,0.0,2005,-,0,,,,,,,,,,,,,
25,1363745980,N36CZE,NJ,PAS,07/09/2015,21,SDN,BMW,P,87330,63030,93230,0,88.0,88,301,358668,T301,0,1235P,,K,O,183,VANDERBILT AVE,,0,408,D1,,BBBYBBB,1130A,0100P,WH,0.0,0,-,0,,,,,,,,,,,,,
26,1363745992,GYD4165,NY,PAS,07/09/2015,71,SUBN,DODGE,P,63030,74530,45030,20170506,88.0,88,301,358668,T301,0,0135P,,K,F,511,MYRTLE,,0,408,D1,,BBBBBBB,ALL,ALL,GR,0.0,2003,-,0,,,,,,,,,,,,,
27,1363746030,GTL7882,NY,PAS,07/09/2015,21,SDN,HONDA,P,29830,13430,68930,20160828,84.0,84,0,353983,BNTE,0,0848A,,K,F,138,COURT ST,,0,408,C3,,YYYYYYB,0800A,0900A,BK,0.0,2014,-,0,,,,,,,,,,,,,
28,1363746042,GXS1304,NY,PAS,07/09/2015,20,P-U,FORD,P,73220,27530,29830,20170331,84.0,84,0,353983,BNTE,0,0911A,,K,F,147,REMSEN ST,,0,408,D1,,YYYYYBB,0800A,0600P,BR,0.0,2015,-,0,,,,,,,,,,,,,
29,1363746078,T639964C,NY,OMT,07/09/2015,20,SUBN,HONDA,P,61830,48830,27530,20150831,84.0,84,0,353983,BNTE,0,0940A,,K,F,148,MONTAGUE ST,,0,408,C,,YYYYYBB,0800A,0600P,BK,0.0,2012,-,0,,,,,,,,,,,,,
