Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)
8600000US06390,06390,ZCTA5 06390,67122,21337
8600000US10001,10001,ZCTA5 10001,80990,15416
8600000US10002,10002,ZCTA5 10002,27867,1246
8600000US10003,10003,ZCTA5 10003,80936,5333
8600000US10004,10004,ZCTA5 10004,90205,13349
8600000US10005,10005,ZCTA5 10005,96940,13388
8600000US10006,10006,ZCTA5 10006,96121,15570
8600000US10007,10007,ZCTA5 10007,184886,26058
8600000US10009,10009,ZCTA5 10009,44839,2708
8600000US10010,10010,ZCTA5 10010,82453,5086
8600000US10011,10011,ZCTA5 10011,114034,7313
8600000US10012,10012,ZCTA5 10012,77687,4878
8600000US10013,10013,ZCTA5 10013,105629,12123
8600000US10014,10014,ZCTA5 10014,112694,6277
8600000US10016,10016,ZCTA5 10016,88937,4830
8600000US10017,10017,ZCTA5 10017,102122,8841
8600000US10018,10018,ZCTA5 10018,79765,7467
8600000US10019,10019,ZCTA5 10019,89202,6005
8600000US10020,10020,ZCTA5 10020,-,**
8600000US10021,10021,ZCTA5 10021,119996,9292
8600000US10022,10022,ZCTA5 10022,139507,13500
8600000US10023,10023,ZCTA5 10023,103249,6527
8600000US10024,10024,ZCTA5 10024,101201,6875
8600000US10025,10025,ZCTA5 10025,58664,3300
8600000US10026,10026,ZCTA5 10026,32424,2403
8600000US10027,10027,ZCTA5 10027,26953,1688
8600000US10028,10028,ZCTA5 10028,110585,7018
8600000US10029,10029,ZCTA5 10029,25697,1663
8600000US10030,10030,ZCTA5 10030,23818,1687
8600000US10031,10031,ZCTA5 10031,23542,1555
8600000US10032,10032,ZCTA5 10032,19479,1128
8600000US10033,10033,ZCTA5 10033,23904,1303
8600000US10034,10034,ZCTA5 10034,23256,1334
8600000US10035,10035,ZCTA5 10035,20371,1746
8600000US10036,10036,ZCTA5 10036,73546,4814
8600000US10037,10037,ZCTA5 10037,25883,2385
8600000US10038,10038,ZCTA5 10038,59468,6969
8600000US10039,10039,ZCTA5 10039,22260,2521
8600000US10040,10040,ZCTA5 10040,23847,1286
8600000US10044,10044,ZCTA5 10044,48285,5268
8600000US10065,10065,ZCTA5 10065,115637,8781
8600000US10069,10069,ZCTA5 10069,120573,22619
8600000US10075,10075,ZCTA5 10075,114620,12243
8600000US10103,10103,ZCTA5 10103,-,**
8600000US10110,10110,ZCTA5 10110,-,**
8600000US10111,10111,ZCTA5 10111,-,**
8600000US10112,10112,ZCTA5 10112,-,**
8600000US10115,10115,ZCTA5 10115,-,**
8600000US10119,10119,ZCTA5 10119,-,**
8600000US10128,10128,ZCTA5 10128,90805,4854
8600000US10152,10152,ZCTA5 10152,-,**
8600000US10153,10153,ZCTA5 10153,-,**
8600000US10154,10154,ZCTA5 10154,-,**
8600000US10162,10162,ZCTA5 10162,112223,29933
8600000US10165,10165,ZCTA5 10165,-,**
8600000US10167,10167,ZCTA5 10167,-,**
8600000US10168,10168,ZCTA5 10168,-,**
8600000US10169,10169,ZCTA5 10169,-,**
8600000US10170,10170,ZCTA5 10170,-,**
8600000US10171,10171,ZCTA5 10171,-,**
8600000US10172,10172,ZCTA5 10172,-,**
8600000US10173,10173,ZCTA5 10173,-,**
8600000US10174,10174,ZCTA5 10174,-,**
8600000US10177,10177,ZCTA5 10177,-,**
8600000US10199,10199,ZCTA5 10199,-,**
8600000US10271,10271,ZCTA5 10271,-,**
8600000US10278,10278,ZCTA5 10278,-,**
8600000US10279,10279,ZCTA5 10279,-,**
8600000US10280,10280,ZCTA5 10280,95071,12508
8600000US10282,10282,ZCTA5 10282,137952,22615
8600000US10301,10301,ZCTA5 10301,27485,1409
8600000US10302,10302,ZCTA5 10302,23486,1636
8600000US10303,10303,ZCTA5 10303,21408,1346
8600000US10304,10304,ZCTA5 10304,28842,2209
8600000US10305,10305,ZCTA5 10305,29938,1533
8600000US10306,10306,ZCTA5 10306,35632,1176
8600000US10307,10307,ZCTA5 10307,33068,2444
8600000US10308,10308,ZCTA5 10308,35768,2149
8600000US10309,10309,ZCTA5 10309,36925,2338
8600000US10310,10310,ZCTA5 10310,29094,1729
8600000US10311,10311,ZCTA5 10311,-,**
8600000US10312,10312,ZCTA5 10312,35984,1105
8600000US10314,10314,ZCTA5 10314,33798,1076
8600000US10451,10451,ZCTA5 10451,16487,1460
8600000US10452,10452,ZCTA5 10452,13255,621
8600000US10453,10453,ZCTA5 10453,12377,498
8600000US10454,10454,ZCTA5 10454,11583,1043
8600000US10455,10455,ZCTA5 10455,12279,830
8600000US10456,10456,ZCTA5 10456,12553,709
8600000US10457,10457,ZCTA5 10457,12997,979
8600000US10458,10458,ZCTA5 10458,14972,873
8600000US10459,10459,ZCTA5 10459,12847,853
8600000US10460,10460,ZCTA5 10460,13171,784
8600000US10461,10461,ZCTA5 10461,26828,1327
8600000US10462,10462,ZCTA5 10462,23220,802
8600000US10463,10463,ZCTA5 10463,32159,1662
8600000US10464,10464,ZCTA5 10464,38931,4272
8600000US10465,10465,ZCTA5 10465,31168,1419
8600000US10466,10466,ZCTA5 10466,20009,788
8600000US10467,10467,ZCTA5 10467,17540,747
8600000US10468,10468,ZCTA5 10468,16383,667
8600000US10469,10469,ZCTA5 10469,23173,687
8600000US10470,10470,ZCTA5 10470,28806,1724
8600000US10471,10471,ZCTA5 10471,43332,3235
8600000US10472,10472,ZCTA5 10472,14443,544
8600000US10473,10473,ZCTA5 10473,19521,876
8600000US10474,10474,ZCTA5 10474,11884,1414
8600000US10475,10475,ZCTA5 10475,26262,1996
8600000US10501,10501,ZCTA5 10501,56962,11575
8600000US10502,10502,ZCTA5 10502,67307,6269
8600000US10503,10503,ZCTA5 10503,89493,29409
8600000US10504,10504,ZCTA5 10504,104627,12015
8600000US10505,10505,ZCTA5 10505,50365,12951
8600000US10506,10506,ZCTA5 10506,104540,14740
8600000US10507,10507,ZCTA5 10507,40086,11968
8600000US10509,10509,ZCTA5 10509,40973,2361
8600000US10510,10510,ZCTA5 10510,74470,6742
8600000US10511,10511,ZCTA5 10511,43005,5306
8600000US10512,10512,ZCTA5 10512,41898,2945
8600000US10514,10514,ZCTA5 10514,99981,7711
8600000US10516,10516,ZCTA5 10516,46986,5387
8600000US10517,10517,ZCTA5 10517,31254,7169
8600000US10518,10518,ZCTA5 10518,66953,12514
8600000US10519,10519,ZCTA5 10519,89248,93181
8600000US10520,10520,ZCTA5 10520,55329,4904
8600000US10522,10522,ZCTA5 10522,53820,5501
8600000US10523,10523,ZCTA5 10523,35563,4008
8600000US10524,10524,ZCTA5 10524,55343,6746
8600000US10526,10526,ZCTA5 10526,71881,15053
8600000US10527,10527,ZCTA5 10527,53237,7461
8600000US10528,10528,ZCTA5 10528,60556,5812
8600000US10530,10530,ZCTA5 10530,61404,4259
8600000US10532,10532,ZCTA5 10532,41320,3314
8600000US10533,10533,ZCTA5 10533,82980,14106
8600000US10535,10535,ZCTA5 10535,28822,11157
8600000US10536,10536,ZCTA5 10536,74801,8602
8600000US10537,10537,ZCTA5 10537,39700,9209
8600000US10538,10538,ZCTA5 10538,86282,6755
8600000US10541,10541,ZCTA5 10541,40147,1897
8600000US10543,10543,ZCTA5 10543,54596,6446
8600000US10545,10545,ZCTA5 10545,9875,9256
8600000US10546,10546,ZCTA5 10546,57776,17752
8600000US10547,10547,ZCTA5 10547,39767,5034
8600000US10548,10548,ZCTA5 10548,41698,4568
8600000US10549,10549,ZCTA5 10549,54685,5533
8600000US10550,10550,ZCTA5 10550,21037,1220
8600000US10552,10552,ZCTA5 10552,40571,2465
8600000US10553,10553,ZCTA5 10553,25031,2123
8600000US10560,10560,ZCTA5 10560,69110,10435
8600000US10562,10562,ZCTA5 10562,34025,2675
8600000US10566,10566,ZCTA5 10566,30200,2453
8600000US10567,10567,ZCTA5 10567,48302,3256
8600000US10570,10570,ZCTA5 10570,57970,4591
8600000US10573,10573,ZCTA5 10573,36380,2292
8600000US10576,10576,ZCTA5 10576,108072,14195
8600000US10577,10577,ZCTA5 10577,54634,13507
8600000US10578,10578,ZCTA5 10578,43199,10461
8600000US10579,10579,ZCTA5 10579,44166,3537
8600000US10580,10580,ZCTA5 10580,94432,6689
8600000US10583,10583,ZCTA5 10583,93213,4689
8600000US10588,10588,ZCTA5 10588,36288,5106
8600000US10589,10589,ZCTA5 10589,59652,6398
8600000US10590,10590,ZCTA5 10590,64799,7399
8600000US10591,10591,ZCTA5 10591,45919,3485
8600000US10594,10594,ZCTA5 10594,41138,4065
8600000US10595,10595,ZCTA5 10595,36456,3878
8600000US10596,10596,ZCTA5 10596,26550,5357
8600000US10597,10597,ZCTA5 10597,82436,40599
8600000US10598,10598,ZCTA5 10598,49734,4193
8600000US10601,10601,ZCTA5 10601,52004,7353
8600000US10603,10603,ZCTA5 10603,47696,4265
8600000US10604,10604,ZCTA5 10604,48645,6617
8600000US10605,10605,ZCTA5 10605,56479,4274
8600000US10606,10606,ZCTA5 10606,34573,3119
8600000US10607,10607,ZCTA5 10607,52445,4901
8600000US10701,10701,ZCTA5 10701,23548,1099
8600000US10703,10703,ZCTA5 10703,25156,1570
8600000US10704,10704,ZCTA5 10704,33884,1758
8600000US10705,10705,ZCTA5 10705,23794,1782
8600000US10706,10706,ZCTA5 10706,67555,5218
8600000US10707,10707,ZCTA5 10707,52798,6970
8600000US10708,10708,ZCTA5 10708,67809,4485
8600000US10709,10709,ZCTA5 10709,52758,5880
8600000US10710,10710,ZCTA5 10710,38869,1980
8600000US10801,10801,ZCTA5 10801,28675,1462
8600000US10803,10803,ZCTA5 10803,76495,6613
8600000US10804,10804,ZCTA5 10804,78531,5224
8600000US10805,10805,ZCTA5 10805,32948,2596
8600000US10901,10901,ZCTA5 10901,45836,2896
8600000US10911,10911,ZCTA5 10911,-,**
8600000US10913,10913,ZCTA5 10913,45858,5350
8600000US10914,10914,ZCTA5 10914,38654,8036
8600000US10915,10915,ZCTA5 10915,24250,4473
8600000US10916,10916,ZCTA5 10916,37572,4498
8600000US10917,10917,ZCTA5 10917,40658,9196
8600000US10918,10918,ZCTA5 10918,35778,3127
8600000US10919,10919,ZCTA5 10919,36149,8203
8600000US10920,10920,ZCTA5 10920,41507,3247
8600000US10921,10921,ZCTA5 10921,35776,3840
8600000US10922,10922,ZCTA5 10922,43477,8484
8600000US10923,10923,ZCTA5 10923,31463,3141
8600000US10924,10924,ZCTA5 10924,40708,3899
8600000US10925,10925,ZCTA5 10925,39256,7317
8600000US10926,10926,ZCTA5 10926,34920,3871
8600000US10927,10927,ZCTA5 10927,25193,2745
8600000US10928,10928,ZCTA5 10928,39984,3519
8600000US10930,10930,ZCTA5 10930,41471,3497
8600000US10931,10931,ZCTA5 10931,33233,4497
8600000US10932,10932,ZCTA5 10932,16965,6833
8600000US10933,10933,ZCTA5 10933,25400,5958
8600000US10940,10940,ZCTA5 10940,26804,895
8600000US10941,10941,ZCTA5 10941,28847,1865
8600000US10950,10950,ZCTA5 10950,24521,1187
8600000US10952,10952,ZCTA5 10952,18129,1276
8600000US10953,10953,ZCTA5 10953,56896,13233
8600000US10954,10954,ZCTA5 10954,40736,2175
8600000US10956,10956,ZCTA5 10956,48993,2321
8600000US10958,10958,ZCTA5 10958,30996,4238
8600000US10960,10960,ZCTA5 10960,46620,3060
8600000US10962,10962,ZCTA5 10962,36390,3218
8600000US10963,10963,ZCTA5 10963,18132,2446
8600000US10964,10964,ZCTA5 10964,52050,12282
8600000US10965,10965,ZCTA5 10965,41488,2937
8600000US10968,10968,ZCTA5 10968,71962,15622
8600000US10969,10969,ZCTA5 10969,41786,11831
8600000US10970,10970,ZCTA5 10970,36430,3657
8600000US10973,10973,ZCTA5 10973,33310,4472
8600000US10974,10974,ZCTA5 10974,37368,6328
8600000US10975,10975,ZCTA5 10975,67730,30570
8600000US10976,10976,ZCTA5 10976,29238,6062
8600000US10977,10977,ZCTA5 10977,20836,1434
8600000US10979,10979,ZCTA5 10979,26761,9560
8600000US10980,10980,ZCTA5 10980,39406,2974
8600000US10983,10983,ZCTA5 10983,47381,6236
8600000US10984,10984,ZCTA5 10984,38453,5161
8600000US10985,10985,ZCTA5 10985,66988,53062
8600000US10986,10986,ZCTA5 10986,48474,10898
8600000US10987,10987,ZCTA5 10987,52518,5022
8600000US10988,10988,ZCTA5 10988,32740,6377
8600000US10989,10989,ZCTA5 10989,41382,3058
8600000US10990,10990,ZCTA5 10990,44992,5367
8600000US10992,10992,ZCTA5 10992,36097,4454
8600000US10993,10993,ZCTA5 10993,23288,3980
8600000US10994,10994,ZCTA5 10994,50174,4784
8600000US10996,10996,ZCTA5 10996,19763,2653
8600000US10998,10998,ZCTA5 10998,32292,3565
8600000US11001,11001,ZCTA5 11001,40761,2030
8600000US11003,11003,ZCTA5 11003,28439,1471
8600000US11004,11004,ZCTA5 11004,37119,2938
8600000US11005,11005,ZCTA5 11005,70911,11062
8600000US11010,11010,ZCTA5 11010,34752,2035
8600000US11020,11020,ZCTA5 11020,62407,10065
