Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars)
8600000US06390,06390,ZCTA5 06390,66379,23909
8600000US07421,07421,ZCTA5 07421,38961,3476
8600000US10001,10001,ZCTA5 10001,86347,15794
8600000US10002,10002,ZCTA5 10002,29666,1419
8600000US10003,10003,ZCTA5 10003,85199,4740
8600000US10004,10004,ZCTA5 10004,95707,13615
8600000US10005,10005,ZCTA5 10005,99511,11367
8600000US10006,10006,ZCTA5 10006,100788,16831
8600000US10007,10007,ZCTA5 10007,166343,24948
8600000US10009,10009,ZCTA5 10009,46499,2267
8600000US10010,10010,ZCTA5 10010,83240,5674
8600000US10011,10011,ZCTA5 10011,113379,7093
8600000US10012,10012,ZCTA5 10012,79481,5069
8600000US10013,10013,ZCTA5 10013,108003,10376
8600000US10014,10014,ZCTA5 10014,115888,7562
8600000US10016,10016,ZCTA5 10016,87451,5148
8600000US10017,10017,ZCTA5 10017,103346,8496
8600000US10018,10018,ZCTA5 10018,81964,7538
8600000US10019,10019,ZCTA5 10019,90151,5050
8600000US10020,10020,ZCTA5 10020,-,**
8600000US10021,10021,ZCTA5 10021,116440,8814
8600000US10022,10022,ZCTA5 10022,133504,15431
8600000US10023,10023,ZCTA5 10023,111473,6736
8600000US10024,10024,ZCTA5 10024,106735,7995
8600000US10025,10025,ZCTA5 10025,63711,3237
8600000US10026,10026,ZCTA5 10026,36542,2954
8600000US10027,10027,ZCTA5 10027,28396,1493
8600000US10028,10028,ZCTA5 10028,108183,7525
8600000US10029,10029,ZCTA5 10029,27030,1530
8600000US10030,10030,ZCTA5 10030,24542,2088
8600000US10031,10031,ZCTA5 10031,24556,1368
8600000US10032,10032,ZCTA5 10032,20843,1137
8600000US10033,10033,ZCTA5 10033,24421,973
8600000US10034,10034,ZCTA5 10034,24538,1378
8600000US10035,10035,ZCTA5 10035,20743,1502
8600000US10036,10036,ZCTA5 10036,77208,4495
8600000US10037,10037,ZCTA5 10037,26927,2683
8600000US10038,10038,ZCTA5 10038,59706,4853
8600000US10039,10039,ZCTA5 10039,21880,2514
8600000US10040,10040,ZCTA5 10040,23744,1413
8600000US10044,10044,ZCTA5 10044,49076,6189
8600000US10065,10065,ZCTA5 10065,122657,8059
8600000US10069,10069,ZCTA5 10069,122444,24924
8600000US10075,10075,ZCTA5 10075,113474,14893
8600000US10103,10103,ZCTA5 10103,-,**
8600000US10110,10110,ZCTA5 10110,-,**
8600000US10111,10111,ZCTA5 10111,-,**
8600000US10112,10112,ZCTA5 10112,-,**
8600000US10115,10115,ZCTA5 10115,-,**
8600000US10119,10119,ZCTA5 10119,-,**
8600000US10128,10128,ZCTA5 10128,92067,4273
8600000US10152,10152,ZCTA5 10152,-,**
8600000US10153,10153,ZCTA5 10153,-,**
8600000US10154,10154,ZCTA5 10154,-,**
8600000US10162,10162,ZCTA5 10162,114279,28477
8600000US10165,10165,ZCTA5 10165,-,**
8600000US10167,10167,ZCTA5 10167,-,**
8600000US10168,10168,ZCTA5 10168,-,**
8600000US10169,10169,ZCTA5 10169,-,**
8600000US10170,10170,ZCTA5 10170,-,**
