GEO.id,GEO.id2,GEO.display-label,HC01_VC11,HC02_VC11,HC03_VC11,HC04_VC11,HC01_VC12,HC02_VC12,HC03_VC12,HC04_VC12,HC01_VC74,HC02_VC74,HC03_VC74,HC04_VC74,HC01_VC75,HC02_VC75,HC03_VC75,HC04_VC75,HC01_VC76,HC02_VC76,HC03_VC76,HC04_VC76,HC01_VC77,HC02_VC77,HC03_VC77,HC04_VC77,HC01_VC78,HC02_VC78,HC03_VC78,HC04_VC78,HC01_VC79,HC02_VC79,HC03_VC79,HC04_VC79,HC01_VC80,HC02_VC80,HC03_VC80,HC04_VC80,HC01_VC81,HC02_VC81,HC03_VC81,HC04_VC81,HC01_VC82,HC02_VC82,HC03_VC82,HC04_VC82,HC01_VC83,HC02_VC83,HC03_VC83,HC04_VC83,HC01_VC84,HC02_VC84,HC03_VC84,HC04_VC84,HC01_VC85,HC02_VC85,HC03_VC85,HC04_VC85,HC01_VC86,HC02_VC86,HC03_VC86,HC04_VC86,HC01_VC89,HC02_VC89,HC03_VC89,HC04_VC89,HC01_VC90,HC02_VC90,HC03_VC90,HC04_VC90,HC01_VC118,HC02_VC118,HC03_VC118,HC04_VC118,HC01_VC171,HC02_VC171,HC03_VC171,HC04_VC171
Id,Id2,Geography,Estimate; EMPLOYMENT STATUS - Civilian labor force,Margin of Error; EMPLOYMENT STATUS - Civilian labor force,Percent; EMPLOYMENT STATUS - Civilian labor force,Percent Margin of Error; EMPLOYMENT STATUS - Civilian labor force,Estimate; EMPLOYMENT STATUS - Civilian labor force - Unemployment Rate,Margin of Error; EMPLOYMENT STATUS - Civilian labor force - Unemployment Rate,Percent; EMPLOYMENT STATUS - Civilian labor force - Unemployment Rate,Percent Margin of Error; EMPLOYMENT STATUS - Civilian labor force - Unemployment Rate,Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households,Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households,Percent; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households,Percent Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households,"Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - Less than $10,000","Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - Less than $10,000","Percent; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - Less than $10,000","Percent Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - Less than $10,000","Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $10,000 to $14,999","Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $10,000 to $14,999","Percent; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $10,000 to $14,999","Percent Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $10,000 to $14,999","Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $15,000 to $24,999","Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $15,000 to $24,999","Percent; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $15,000 to $24,999","Percent Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $15,000 to $24,999","Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $25,000 to $34,999","Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $25,000 to $34,999","Percent; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $25,000 to $34,999","Percent Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $25,000 to $34,999","Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $35,000 to $49,999","Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $35,000 to $49,999","Percent; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $35,000 to $49,999","Percent Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $35,000 to $49,999","Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $50,000 to $74,999","Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $50,000 to $74,999","Percent; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $50,000 to $74,999","Percent Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $50,000 to $74,999","Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $75,000 to $99,999","Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $75,000 to $99,999","Percent; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $75,000 to $99,999","Percent Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $75,000 to $99,999","Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $100,000 to $149,999","Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $100,000 to $149,999","Percent; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $100,000 to $149,999","Percent Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $100,000 to $149,999","Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $150,000 to $199,999","Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $150,000 to $199,999","Percent; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $150,000 to $199,999","Percent Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $150,000 to $199,999","Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $200,000 or more","Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $200,000 or more","Percent; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $200,000 or more","Percent Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - $200,000 or more",Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars),Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars),Percent; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars),Percent Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars),Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - Mean household income (dollars),Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - Mean household income (dollars),Percent; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - Mean household income (dollars),Percent Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Total households - Mean household income (dollars),Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - With earnings,Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - With earnings,Percent; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - With earnings,Percent Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - With earnings,Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - With earnings - Mean earnings (dollars),Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - With earnings - Mean earnings (dollars),Percent; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - With earnings - Mean earnings (dollars),Percent Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - With earnings - Mean earnings (dollars),Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Percent; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Percent Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Estimate; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All people,Margin of Error; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All people,Percent; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All people,Percent Margin of Error; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All people
8600000US06390,06390,ZCTA5 06390,214,110,214,(X),(X),(X),9.8,11.8,134,54,134,(X),0,11,0.0,19.9,1,2,0.7,1.6,2,3,1.5,2.1,0,11,0.0,19.9,2,3,1.5,2.3,20,23,14.9,15.7,0,11,0.0,19.9,29,24,21.6,16.4,50,31,37.3,19.2,30,27,22.4,17.0,151083,13297,(X),(X),168193,34001,(X),(X),104,49,77.6,21.4,113498,46916,(X),(X),67122,21337,(X),(X),(X),(X),0.9,1.4
8600000US10001,10001,ZCTA5 10001,14785,879,14785,(X),(X),(X),8.4,1.8,11639,506,11639,(X),1001,242,8.6,2.1,483,170,4.1,1.5,1078,304,9.3,2.5,598,132,5.1,1.1,1068,259,9.2,2.1,985,217,8.5,1.9,1141,240,9.8,2.0,1539,332,13.2,2.7,1168,249,10.0,2.1,2578,327,22.1,2.8,86801,10346,(X),(X),158183,25853,(X),(X),9371,530,80.5,2.6,167538,18531,(X),(X),80990,15416,(X),(X),(X),(X),20.4,8.4
8600000US10002,10002,ZCTA5 10002,39320,2000,39320,(X),(X),(X),8.9,1.2,33348,548,33348,(X),5160,576,15.5,1.7,4195,451,12.6,1.3,4673,538,14.0,1.6,2935,459,8.8,1.4,3331,461,10.0,1.4,4747,563,14.2,1.7,2384,415,7.1,1.2,2840,382,8.5,1.2,1118,214,3.4,0.6,1965,246,5.9,0.7,33726,3127,(X),(X),61946,2672,(X),(X),22492,799,67.4,2.1,77103,3728,(X),(X),27867,1246,(X),(X),(X),(X),30.2,3.1
8600000US10003,10003,ZCTA5 10003,36392,1289,36392,(X),(X),(X),6.1,0.9,27487,679,27487,(X),1672,279,6.1,1.0,527,181,1.9,0.7,1936,421,7.0,1.5,1334,324,4.9,1.2,1765,330,6.4,1.2,3581,526,13.0,1.9,3103,495,11.3,1.7,4178,493,15.2,1.8,3194,451,11.6,1.7,6197,545,22.5,1.9,98151,5628,(X),(X),161692,10734,(X),(X),23195,677,84.4,1.6,162096,9711,(X),(X),80936,5333,(X),(X),(X),(X),10.3,1.5
8600000US10004,10004,ZCTA5 10004,2255,380,2255,(X),(X),(X),6.1,4.8,1574,201,1574,(X),35,27,2.2,1.7,5,8,0.3,0.5,26,34,1.7,2.1,102,88,6.5,5.7,80,51,5.1,3.2,111,109,7.1,6.7,233,79,14.8,4.9,347,133,22.0,7.6,195,104,12.4,6.4,440,124,28.0,7.4,119691,15833,(X),(X),177262,24337,(X),(X),1410,197,89.6,7.0,186255,23098,(X),(X),90205,13349,(X),(X),(X),(X),6.8,3.2
8600000US10005,10005,ZCTA5 10005,6465,734,6465,(X),(X),(X),3.7,2.4,4252,396,4252,(X),338,172,7.9,4.1,36,39,0.8,0.9,190,121,4.5,2.7,82,54,1.9,1.3,60,68,1.4,1.6,382,151,9.0,3.4,422,194,9.9,4.4,1046,279,24.6,6.4,533,203,12.5,4.6,1163,308,27.4,6.6,124194,10342,(X),(X),176424,28643,(X),(X),3939,393,92.6,3.9,187427,28475,(X),(X),96940,13388,(X),(X),(X),(X),10.6,3.9
8600000US10006,10006,ZCTA5 10006,2458,363,2458,(X),(X),(X),2.7,2.3,1745,225,1745,(X),120,72,6.9,4.0,90,76,5.2,4.2,0,11,0.0,1.7,12,19,0.7,1.1,55,55,3.2,3.1,274,124,15.7,6.6,115,86,6.6,4.8,389,134,22.3,7.4,131,85,7.5,4.9,559,169,32.0,8.2,123691,27459,(X),(X),162688,23020,(X),(X),1679,233,96.2,3.4,165866,23634,(X),(X),96121,15570,(X),(X),(X),(X),8.0,4.2
8600000US10007,10007,ZCTA5 10007,4020,372,4020,(X),(X),(X),1.5,1.1,2781,229,2781,(X),81,59,2.9,2.1,39,42,1.4,1.5,18,31,0.6,1.1,20,30,0.7,1.1,106,75,3.8,2.7,163,74,5.9,2.6,147,80,5.3,2.9,288,126,10.4,4.4,257,109,9.2,3.9,1662,198,59.8,5.3,"250,000+",***,(X),(X),441278,56347,(X),(X),2614,221,94.0,2.8,427040,56462,(X),(X),184886,26058,(X),(X),(X),(X),3.2,1.7
8600000US10009,10009,ZCTA5 10009,35973,1638,35973,(X),(X),(X),5.6,1.2,29770,465,29770,(X),3768,413,12.7,1.4,2287,388,7.7,1.3,2864,406,9.6,1.4,2155,390,7.2,1.3,2505,417,8.4,1.4,3673,559,12.3,1.8,3330,556,11.2,1.8,4276,530,14.4,1.8,2127,410,7.1,1.4,2785,483,9.4,1.6,59090,5355,(X),(X),85207,5441,(X),(X),22492,747,75.6,2.3,98886,5892,(X),(X),44839,2708,(X),(X),(X),(X),22.8,2.3
