,POSTCODE,Violation Count,Id2_x,Median income (dollars); Estimate; Households,Id2_y,Unemployment rate; Estimate; Population 16 years and over,Id2,Estimate; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)
0,10001,55,10001,86801,10001,8.4,10001,80990
1,10002,635,10002,33726,10002,8.9,10002,27867
2,10003,140,10003,98151,10003,6.1,10003,80936
3,10004,111,10004,119691,10004,6.1,10004,90205
4,10005,111,10005,124194,10005,3.7,10005,96940
5,10006,34,10006,123691,10006,2.7,10006,96121
6,10009,30,10009,59090,10009,5.6,10009,44839
7,10010,63,10010,101718,10010,5.8,10010,82453
8,10011,29,10011,109818,10011,4.9,10011,114034
9,10012,405,10012,100859,10012,5.4,10012,77687
10,10013,600,10013,96667,10013,4.5,10013,105629
11,10014,311,10014,113973,10014,5.3,10014,112694
12,10016,133,10016,104826,10016,5.0,10016,88937
13,10017,103,10017,106421,10017,3.3,10017,102122
14,10018,62,10018,105500,10018,4.4,10018,79765
15,10019,68,10019,94022,10019,5.7,10019,89202
16,10021,175,10021,115076,10021,3.0,10021,119996
17,10022,154,10022,126378,10022,4.5,10022,139507
18,10023,152,10023,111478,10023,4.9,10023,103249
19,10024,327,10024,113839,10024,3.8,10024,101201
20,10025,310,10025,74065,10025,8.0,10025,58664
21,10026,22,10026,47264,10026,8.7,10026,32424
22,10027,110,10027,40782,10027,6.6,10027,26953
23,10028,193,10028,114939,10028,4.2,10028,110585
24,10029,74,10029,31350,10029,12.1,10029,25697
25,10030,18,10030,33196,10030,16.6,10030,23818
26,10031,122,10031,39774,10031,10.7,10031,23542
27,10032,227,10032,37280,10032,13.0,10032,19479
28,10033,140,10033,44933,10033,13.8,10033,23904
29,10034,83,10034,42581,10034,15.7,10034,23256
30,10035,24,10035,27424,10035,10.4,10035,20371
31,10036,24,10036,75966,10036,6.5,10036,73546
32,10037,24,10037,35491,10037,12.4,10037,25883
33,10038,225,10038,76379,10038,6.1,10038,59468
34,10039,12,10039,33558,10039,19.7,10039,22260
35,10040,71,10040,46200,10040,11.3,10040,23847
36,10044,11,10044,91383,10044,5.4,10044,48285
37,10065,107,10065,112869,10065,3.7,10065,115637
38,10069,12,10069,163750,10069,3.8,10069,120573
39,10075,72,10075,111691,10075,4.1,10075,114620
40,10128,194,10128,100200,10128,4.5,10128,90805
41,10280,18,10280,145432,10280,4.7,10280,95071
42,10301,126,10301,54605,10301,8.5,10301,27485
43,10302,85,10302,54170,10302,6.8,10302,23486
