,POSTCODE,Violation Count,Id2_x,Median income (dollars); Estimate; Households,Id2_y,Unemployment rate; Estimate; Population 16 years and over,Id2,Estimate; Per capita income in the past 12 months (in 2017 inflation-adjusted dollars)
0,10001,69,10001,85221,10001,6.2,10001,86014
1,10002,469,10002,35449,10002,8.3,10002,30677
2,10003,122,10003,104441,10003,4.9,10003,91141
3,10004,90,10004,140450,10004,3.7,10004,105390
4,10005,94,10005,154213,10005,2.7,10005,102957
5,10006,41,10006,145893,10006,1.7,10006,103279
6,10007,207,10007,242644,10007,1.2,10007,153897
7,10009,29,10009,60521,10009,5.0,10009,47782
8,10010,58,10010,115084,10010,3.7,10010,88872
9,10011,21,10011,123208,10011,4.2,10011,114218
10,10012,321,10012,104561,10012,3.3,10012,85491
11,10013,546,10013,106056,10013,3.8,10013,107794
12,10014,195,10014,127973,10014,5.3,10014,122098
13,10016,124,10016,109250,10016,4.4,10016,88762
14,10017,91,10017,118469,10017,2.5,10017,106244
15,10018,51,10018,107861,10018,3.5,10018,84134
16,10019,51,10019,99063,10019,5.2,10019,94797
17,10021,140,10021,123842,10021,1.9,10021,125769
18,10022,108,10022,133208,10022,2.1,10022,145479
19,10023,108,10023,123951,10023,3.9,10023,114641
20,10024,219,10024,126107,10024,3.2,10024,113584
21,10025,234,10025,82352,10025,7.1,10025,68995
22,10026,25,10026,54349,10026,7.4,10026,39354
23,10027,96,10027,45536,10027,5.5,10027,30256
24,10028,151,10028,119203,10028,2.5,10028,115071
25,10029,105,10029,34015,10029,12.2,10029,27966
26,10030,24,10030,36118,10030,13.4,10030,28648
27,10031,106,10031,44040,10031,7.9,10031,26417
28,10032,132,10032,41890,10032,9.4,10032,23217
29,10033,123,10033,53044,10033,11.8,10033,25767
30,10034,102,10034,50909,10034,9.4,10034,26216
31,10035,44,10035,27932,10035,9.4,10035,21618
32,10036,20,10036,93707,10036,4.9,10036,77462
33,10037,19,10037,39979,10037,13.0,10037,27913
34,10038,197,10038,85032,10038,5.5,10038,63676
35,10039,7,10039,34197,10039,15.6,10039,23681
36,10040,78,10040,47189,10040,10.2,10040,24514
37,10044,13,10044,92623,10044,5.7,10044,53174
38,10065,96,10065,124322,10065,2.9,10065,125405
39,10069,9,10069,137105,10069,5.5,10069,112264
40,10075,53,10075,129594,10075,4.0,10075,111997
41,10128,149,10128,111937,10128,3.6,10128,97642
42,10280,13,10280,161419,10280,4.6,10280,108281
43,10301,131,10301,55818,10301,5.5,10301,30390
44,10302,84,10302,60968,10302,6.2,10302,25824
45,10303,25,10303,59898,10303,4.8,10303,23038
46,10304,124,10304,54567,10304,5.8,10304,31609
47,10305,66,10305,76044,10305,6.9,10305,31010
48,10306,81,10306,80025,10306,5.3,10306,36277
49,10307,25,10307,81356,10307,5.8,10307,38073
50,10308,22,10308,91953,10308,6.8,10308,37435
51,10309,23,10309,100343,10309,3.5,10309,40598
52,10310,119,10310,69838,10310,7.0,10310,30838
53,10312,43,10312,90797,10312,5.2,10312,38250
54,10314,79,10314,80956,10314,5.1,10314,34780
55,10451,49,10451,26979,10451,10.3,10451,19116
56,10452,130,10452,27206,10452,10.8,10452,14142
57,10453,133,10453,24421,10453,12.6,10453,13386
58,10454,52,10454,21542,10454,11.8,10454,12900
59,10455,58,10455,25489,10455,13.4,10455,14241
60,10456,129,10456,26724,10456,13.5,10456,14424
61,10457,138,10457,27036,10457,14.4,10457,13952
62,10458,278,10458,32129,10458,13.7,10458,15612
63,10459,104,10459,25762,10459,7.9,10459,13893
64,10460,113,10460,25948,10460,16.4,10460,14716
65,10461,208,10461,55847,10461,8.3,10461,28352
66,10462,348,10462,49962,10462,12.0,10462,24718
67,10463,121,10463,58881,10463,8.4,10463,33630
68,10464,10,10464,87853,10464,7.7,10464,43462
69,10465,56,10465,74079,10465,7.8,10465,33839
70,10466,118,10466,49906,10466,10.8,10466,23060
71,10467,299,10467,35381,10467,14.1,10467,18402
72,10468,155,10468,35398,10468,12.4,10468,16902
73,10469,64,10469,61090,10469,10.1,10469,24621
74,10470,22,10470,56658,10470,6.9,10470,30792
75,10471,11,10471,80932,10471,7.7,10471,43996
76,10472,149,10472,30593,10472,12.4,10472,15117
77,10473,61,10473,38924,10473,12.0,10473,20315
78,10474,44,10474,25896,10474,10.7,10474,12362
79,10475,36,10475,48734,10475,8.2,10475,27175
80,11004,5,11004,93315,11004,6.3,11004,38119
81,11101,97,11101,57866,11101,7.8,11101,43063
82,11102,41,11102,60436,11102,6.5,11102,35275
83,11103,132,11103,65229,11103,6.6,11103,36827
84,11104,39,11104,63122,11104,5.5,11104,37114
85,11105,53,11105,68050,11105,5.7,11105,38318
86,11106,48,11106,60725,11106,8.4,11106,35257
87,11201,652,11201,116446,11201,6.3,11201,77491
88,11203,141,11203,48140,11203,8.1,11203,24026
89,11204,32,11204,47341,11204,7.6,11204,21587
90,11205,196,11205,51574,11205,9.0,11205,28894
91,11206,352,11206,34122,11206,11.0,11206,21148
92,11207,168,11207,35809,11207,11.2,11207,19498
93,11208,158,11208,39588,11208,8.4,11208,18319
94,11209,67,11209,69578,11209,6.5,11209,41538
95,11210,132,11210,62202,11210,6.6,11210,28212
96,11211,337,11211,66113,11211,5.8,11211,39123
97,11212,101,11212,25677,11212,16.2,11212,18150
98,11213,176,11213,40604,11213,8.8,11213,22191
99,11214,46,11214,53151,11214,6.6,11214,25791
100,11215,67,11215,116893,11215,4.3,11215,67148
101,11216,293,11216,56025,11216,8.2,11216,34644
102,11217,233,11217,99085,11217,6.0,11217,63967
103,11218,127,11218,64152,11218,6.4,11218,29112
104,11219,47,11219,37665,11219,6.3,11219,15725
105,11220,35,11220,42559,11220,7.4,11220,18459
106,11221,261,11221,47170,11221,12.5,11221,24707
107,11222,251,11222,78287,11222,5.1,11222,46592
108,11223,148,11223,46310,11223,8.6,11223,24860
109,11224,56,11224,31630,11224,12.7,11224,22584
110,11225,145,11225,51926,11225,10.3,11225,30351
111,11226,296,11226,48495,11226,8.4,11226,24798
112,11228,13,11228,63697,11228,7.6,11228,30740
113,11229,107,11229,59287,11229,7.2,11229,29597
114,11230,148,11230,46013,11230,7.1,11230,25810
115,11231,113,11231,93575,11231,7.9,11231,60619
116,11232,10,11232,53908,11232,7.5,11232,24043
117,11233,147,11233,36009,11233,8.2,11233,22163
118,11234,66,11234,79490,11234,8.6,11234,33502
119,11235,131,11235,49653,11235,6.8,11235,31005
120,11236,72,11236,63700,11236,7.0,11236,26886
121,11237,154,11237,51269,11237,9.5,11237,23115
122,11238,232,11238,79013,11238,6.3,11238,49004
123,11239,23,11239,26002,11239,8.7,11239,19375
124,11354,175,11354,44512,11354,5.1,11354,24252
125,11355,235,11355,38370,11355,4.5,11355,20034
126,11356,23,11356,59712,11356,4.6,11356,25148
127,11357,10,11357,81053,11357,5.7,11357,37105
128,11358,47,11358,65932,11358,4.4,11358,32137
129,11360,1,11360,84476,11360,4.8,11360,45446
130,11361,64,11361,82020,11361,5.6,11361,37166
131,11362,3,11362,80828,11362,5.5,11362,38986
132,11363,1,11363,97784,11363,4.5,11363,46719
133,11364,17,11364,71030,11364,4.8,11364,36515
134,11365,10,11365,63455,11365,9.2,11365,29830
135,11366,12,11366,67115,11366,9.2,11366,31649
136,11367,39,11367,58924,11367,5.9,11367,27413
137,11368,88,11368,47862,11368,5.6,11368,16826
138,11369,33,11369,53426,11369,7.0,11369,21685
139,11370,19,11370,59901,11370,5.9,11370,22720
140,11372,67,11372,53963,11372,4.7,11372,27761
141,11373,188,11373,49098,11373,5.6,11373,22249
142,11374,81,11374,56863,11374,5.2,11374,35632
143,11375,186,11375,76467,11375,4.7,11375,46430
144,11377,79,11377,54989,11377,4.8,11377,25978
145,11378,48,11378,68460,11378,5.6,11378,32263
146,11379,27,11379,79573,11379,6.7,11379,36301
147,11385,204,11385,64481,11385,5.6,11385,27568
148,11411,9,11411,87231,11411,6.5,11411,33473
149,11412,11,11412,75307,11412,10.1,11412,27935
150,11413,20,11413,83459,11413,7.6,11413,30087
151,11414,31,11414,72632,11414,7.0,11414,36334
152,11415,49,11415,65981,11415,4.2,11415,37544
153,11416,6,11416,61285,11416,8.2,11416,21709
154,11417,28,11417,69989,11417,8.7,11417,25481
155,11418,61,11418,67003,11418,6.9,11418,24653
156,11419,70,11419,65711,11419,9.9,11419,22049
157,11420,17,11420,66220,11420,9.6,11420,24460
158,11421,53,11421,69053,11421,6.8,11421,25205
159,11422,6,11422,86996,11422,5.6,11422,30216
160,11423,18,11423,66455,11423,9.8,11423,27902
161,11426,4,11426,83376,11426,4.9,11426,32021
162,11427,9,11427,72874,11427,6.6,11427,32110
163,11428,24,11428,71663,11428,4.9,11428,25256
164,11429,20,11429,80464,11429,15.6,11429,27442
165,11432,109,11432,52975,11432,8.7,11432,23174
166,11433,41,11433,48795,11433,15.5,11433,20816
167,11434,33,11434,60702,11434,8.3,11434,25446
168,11435,94,11435,59535,11435,11.6,11435,25498
169,11436,4,11436,69259,11436,10.3,11436,25222
170,11691,28,11691,42434,11691,9.4,11691,19799
171,11692,3,11692,45816,11692,13.3,11692,21492
172,11693,6,11693,57443,11693,5.8,11693,28735
173,11694,9,11694,77547,11694,6.5,11694,43411
174,11697,8,11697,99792,11697,5.5,11697,48159
